-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        25.58%        5.372s        27.88%        5.854s      17.095us       0.000us         0.00%       4.620ms       0.013us        342452  
                                               aten::mm        10.13%        2.128s        16.02%        3.365s      71.799us        6.824s        89.08%        7.182s     153.250us         46864  
                                              aten::mul         8.08%        1.697s        13.05%        2.740s      42.653us     190.654ms         2.49%     190.889ms       2.972us         64234  
                                              aten::add         5.38%        1.130s         8.79%        1.846s      41.346us      73.736ms         0.96%      73.831ms       1.654us         44639  
                                            aten::copy_         4.83%        1.014s        11.04%        2.318s      40.923us     129.770ms         1.69%     129.878ms       2.293us         56636  
                                    aten::empty_strided         4.22%     886.906ms         4.23%     889.157ms      14.160us       0.000us         0.00%       0.000us       0.000us         62795  
                                             aten::mean         3.20%     672.980ms         4.90%        1.028s      48.932us      98.721ms         1.29%      98.831ms       4.704us         21008  
                                              aten::pow         3.13%     656.921ms         5.06%        1.062s      50.531us      31.869ms         0.42%      31.975ms       1.522us         21008  
                                           aten::matmul         2.56%     537.774ms        20.90%        4.389s      93.448us       0.000us         0.00%        7.182s     152.925us         46965  
                       Runtime Triggered Module Loading         2.54%     533.194ms         2.54%     533.194ms       4.370ms      10.115ms         0.13%      10.115ms      82.911us           122  
                                         aten::_to_copy         2.49%     522.486ms        16.82%        3.532s      65.513us       0.000us         0.00%     124.938ms       2.318us         53906  
                                            aten::rsqrt         2.16%     453.555ms         3.82%     801.195ms      38.138us      33.026ms         0.43%      33.042ms       1.573us         21008  
                                              aten::cat         2.15%     451.042ms         3.51%     738.091ms      44.831us      58.822ms         0.77%      58.947ms       3.580us         16464  
                                        aten::transpose         1.46%     307.448ms         2.30%     483.463ms       4.925us       0.000us         0.00%       0.000us       0.000us         98165  
                                             aten::view         1.43%     299.712ms         1.43%     299.712ms       3.385us       0.000us         0.00%       0.000us       0.000us         88534  
                                    cudaMemcpyPeerAsync         1.38%     288.947ms         1.40%     293.449ms      29.348us       0.000us         0.00%       2.752us       0.000us          9999  
                                            aten::empty         1.32%     277.007ms         1.32%     277.007ms       7.235us       0.000us         0.00%       0.000us       0.000us         38285  
                                       aten::as_strided         1.25%     262.633ms         1.25%     262.633ms       1.763us       0.000us         0.00%       0.000us       0.000us        148970  
                         aten::_flash_attention_forward         1.17%     244.762ms         3.81%     801.063ms     123.927us      84.358ms         1.10%      84.813ms      13.121us          6464  
                                               aten::to         1.04%     217.849ms        17.85%        3.749s      25.893us       0.000us         0.00%     124.938ms       0.863us        144808  
                                                aten::t         1.01%     212.664ms         2.12%     444.988ms       9.495us       0.000us         0.00%       0.000us       0.000us         46864  
                                              aten::neg         0.90%     189.876ms         1.58%     332.060ms      45.663us      18.648ms         0.24%      18.687ms       2.570us          7272  
                                           aten::linear         0.87%     183.005ms        23.33%        4.899s     104.530us       0.000us         0.00%        7.182s     153.245us         46864  
                                             aten::silu         0.75%     158.287ms         1.30%     272.683ms      42.185us      17.108ms         0.22%      17.260ms       2.670us          6464  
                                     aten::_unsafe_view         0.73%     153.065ms         0.73%     153.065ms       3.375us       0.000us         0.00%       0.000us       0.000us         45349  
                                            aten::slice         0.59%     123.654ms         0.77%     161.357ms       8.976us       0.000us         0.00%       0.000us       0.000us         17977  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.57%     119.875ms         0.57%     119.969ms       2.576us       0.000us         0.00%     194.626us       0.004us         46563  
                                  cudaStreamSynchronize         0.56%     116.687ms         0.56%     116.687ms       1.133ms       0.000us         0.00%       0.000us       0.000us           103  
                     aten::scaled_dot_product_attention         0.55%     115.365ms         5.27%        1.107s     171.281us       0.000us         0.00%      84.813ms      13.121us          6464  
                                          aten::reshape         0.50%     104.354ms         1.39%     290.971ms       4.512us       0.000us         0.00%       0.000us       0.000us         64495  
              aten::_scaled_dot_product_flash_attention         0.49%     103.449ms         4.72%     991.687ms     153.417us       0.000us         0.00%      84.813ms      13.121us          6464  
                                    cudaStreamWaitEvent         0.47%      98.721ms         0.47%      98.721ms       4.937us       0.000us         0.00%       0.000us       0.000us         19998  
                                Activity Buffer Request         0.43%      89.504ms         0.43%      89.504ms       2.238ms       1.679ms         0.02%       1.679ms      41.978us            40  
                                              aten::bmm         0.42%      88.589ms         0.54%     113.546ms       1.124ms     173.247us         0.00%     183.455us       1.816us           101  
                                      aten::multinomial         0.34%      70.628ms         2.76%     579.235ms     716.875us       0.000us         0.00%      29.772ms      36.847us           808  
                                          aten::permute         0.32%      67.661ms         0.42%      87.635ms       7.231us       0.000us         0.00%       0.000us       0.000us         12120  
                                        aten::unsqueeze         0.29%      61.275ms         0.37%      77.406ms       6.083us       0.000us         0.00%       0.000us       0.000us         12725  
                                              aten::sum         0.24%      50.936ms         0.46%      96.547ms      56.263us       6.378ms         0.08%       6.400ms       3.730us          1716  
                               cudaEventRecordWithFlags         0.24%      49.707ms         0.24%      49.707ms       2.486us       0.000us         0.00%       0.000us       0.000us         19998  
                                             aten::topk         0.23%      49.292ms         0.77%     161.182ms     177.318us      30.068ms         0.39%      31.460ms      34.609us           909  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.000s
Self CUDA time total: 7.661s
